"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A1BG","P04217",119049.602856667,88494.40625,"nonmito",""
"A2M","P01023",251149.924496667,119980.0104,"nonmito",""
"AAAS","Q9NRG9",1371736.25,696574.520833333,"nonmito",""
"AAMDC","Q9H7C9",593938.8021,224692.1198,"nonmito",""
"AARS1","P49588",54223.94401,55363.13021,"nonmito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",54585.9401066667,61033.0703133333,"nonmito",""
"AASDHPPT","Q9NRN7",45194.59896,58886.5364566667,"nonmito",""
"ABAT","P80404",25990.8365866667,8451.14567166667,"mito",""
"ABCA8","O94911-3",42341.74089,28328.38281,"nonmito",""
"ABCB10","Q9NRK6",20644.1946633333,13737.9137366667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",10782.1394033333,10818.2858073333,"mito",""
"ABCB7","O75027;O75027-2",47333.91341,29188.6634133333,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",59787.7239566667,23557.19271,"mito",""
"ABCC9","O60706;O60706-2",31906.1901033333,22248.1673166667,"nonmito",""
"ABCE1","P61221",52226.9335966667,59779.9908866667,"nonmito",""
"ABCF1","Q8NE71",50732.3750033333,68991.6510433333,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",45513.04297,32264.19336,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",50599.8697933333,47282.1966166667,"nonmito",""
"ABHD10","Q9NUJ1",98943.55727,83510.1770833333,"mito",""
"ABHD11","Q8NFV4",59420.7916666667,80843.5625033333,"mito",""
"ABHD14B","Q96IU4",97414.95313,87820.41667,"nonmito",""
"ABHD16A","O95870",66328.2460933333,92551.5260433333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",10783.6438766667,12716.6126333333,"nonmito",""
"ABI3BP","Q7Z7G0",49160.31771,21461.6399733333,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",72785.07423,18656.18685,"nonmito",""
"ABLIM2","Q6H8Q1-9",145745.8906,208269.489566667,"nonmito",""
"ABRA","Q8N0Z2",39313.5833366667,32494.4036466667,"nonmito",""
"ABRAXAS2","Q15018",42374.7226566667,51456.8411466667,"nonmito",""
"ACAA1","P09110",62097.04427,27561.7910133333,"mito",""
"ACAA2","P42765",982280.208333333,429737.8021,"mito",""
"ACACB","O00763;O00763-2;O00763-3",21463.7825533333,13755.4261066667,"mito",""
"ACAD8","Q9UKU7",153243.596353333,71671.3723966667,"mito",""
"ACAD9","Q9H845",55415.32943,35853.7226566667,"mito",""
"ACADM","P11310;P11310-2",1190022.77083333,634235.916666667,"mito",""
"ACADS","P16219",1180199.54166667,177076.713533333,"mito",""
"ACADSB","P45954",148099.325546667,65975.41146,"mito",""
"ACADVL","P49748;P49748-2;P49748-3",2047586.16666667,393774.197933333,"mito",""
"ACAT1","P24752",1960507.41666667,1171694.33333333,"mito",""
"ACAT2","Q9BWD1",42968.17318,54795.4362,"nonmito",""
"ACBD3","Q9H3P7",14907.5322266667,14299.6738266667,"nonmito",""
