"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",4154017.46875,4689500.33333333,"nonmito",""
"AAAS","Q9NRG9",86122.21875,84565.35677,"nonmito",""
"AACS","Q86V21",109248.906275,109079.966166667,"nonmito",""
"AAGAB","Q6PD74",114868.86915,92259.2369733333,"nonmito",""
"AAK1","Q2M2I8",178328.27345,174172.8698,"nonmito",""
"AAMDC","Q9H7C9",146648.2129,48831.5039066667,"nonmito",""
"AAMP","Q13685",73888.613285,83408.1145866667,"nonmito",""
"AAR2","Q9Y312",75913.941405,77536.42448,"nonmito",""
"AARS1","P49588",628343.265625,443487.927133333,"nonmito",""
"AARS2","Q5JTZ9",103193.890625,105220.992166667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",196050.656275,266689.020833333,"nonmito",""
"AASDHPPT","Q9NRN7",217276.574225,241897.9896,"nonmito",""
"AASS","Q9UDR5",52512.3769525,61235.7265633333,"mito",""
"AATF","Q9NY61",37618.0195325,34951.1848966667,"nonmito",""
"ABAT","P80404",44628.3081075,45368.1901066667,"mito",""
"ABCA1","O95477",21730.35742,19018.7272133333,"nonmito",""
"ABCB10","Q9NRK6",40178.842775,30059.3170566667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",78500.46973,60567.2031233333,"mito",""
"ABCB7","O75027;O75027-2",67763.20996,85699.6848933333,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",37259.2045925,48698.6536466667,"mito",""
"ABCC1","P33527;P33527-9",261539.714875,233280.781266667,"nonmito",""
"ABCC4","O15439",72651.84766,77054.2395866667,"nonmito",""
"ABCD1","P33897",73916.240235,75911.89844,"mito",""
"ABCD3","P28288",147023.7461,165299.708333333,"mito",""
"ABCE1","P61221",366823.13285,315667.7917,"nonmito",""
"ABCF1","Q8NE71",179459.4922,197334.770866667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",219760.082025,232707.531233333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",315025.4141,317058.260433333,"nonmito",""
"ABHD10","Q9NUJ1",106386.6718775,131306.171866667,"mito",""
"ABHD11","Q8NFV4",78506.1093775,62651.52474,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",177768.828125,168037.661466667,"nonmito",""
"ABHD14B","Q96IU4",633640.695325,317782.0521,"nonmito",""
"ABHD16A","O95870",77203.25,73734.1822933333,"nonmito",""
"ABHD4","Q8TB40",50733.8881825,65144.1171866667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",167266.08595,124860.630233333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",91183.9238275,59957.4987,"nonmito",""
"ABL1","P00519;P00519-2",40720.1875,48175.3724,"nonmito",""
"ABLIM3","O94929;O94929-2;O94929-3",69275.06641,52263.4934933333,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",169876.94535,176886.593766667,"nonmito",""
"ABRACL","Q9P1F3",447649.968775,408407.968766667,"nonmito",""
"ABRAXAS2","Q15018",89564.652355,83873.74219,"nonmito",""
"ABT1","Q9ULW3",55300.066895,85517.38802,"nonmito",""
"ACAA1","P09110",175440.72265,228301.974,"mito",""
"ACAA2","P42765",394560.7266,348925.093766667,"mito",""
"ACACA","Q13085;Q13085-2;Q13085-3;Q13085-4",155439.757825,119629.3672,"mito",""
"ACAD11","Q709F0",83979.85742,87084.2265633333,"mito",""
"ACAD8","Q9UKU7",33127.812985,49009.1393233333,"mito",""
"ACAD9","Q9H845",133188.23047,161695.286466667,"mito",""
"ACADM","P11310;P11310-2",174123.417975,147507.828133333,"mito",""
"ACADSB","P45954",72563.7793,76211.67969,"mito",""
"ACADVL","P49748;P49748-3",474551.554725,525403.010433333,"mito",""
"ACAP2","Q15057",93429.07031,79383.13021,"nonmito",""
"ACAT1","P24752",580498.164075,495174.8542,"mito",""
"ACAT2","Q9BWD1",393274.625025,418728.291666667,"nonmito",""
"ACBD3","Q9H3P7",274084.9766,381066.218766667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",83539.4785175,73486.2552066667,"nonmito",""
"ACBD6","Q9BR61",50395.616215,89767.8151066667,"nonmito",""
"ACIN1","Q9UKV3",140687.046875,125893.4974,"nonmito",""
"ACLY","P53396",1651667.125,1291198.04166667,"mito",""
"ACO1","P21399",319584.617225,388907.2292,"nonmito",""
"ACO2","Q99798",275554.214875,264424.322933333,"mito",""
"ACOT1","Q86TX2",229032.33205,224599.505233333,"nonmito",""
"ACOT11","Q8WXI4;Q8WXI4-2",55816.0175775,64479.90625,"mito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",256899.125025,292165.020866667,"mito",""
"ACOT7","O00154-4",544853.33595,630331.458333333,"mito",""
"ACOT8","O14734",123269.70705,167344.703166667,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",244035.757825,296663.500033333,"mito",""
"ACOX1","Q15067-2",133570.849625,209980.270833333,"nonmito",""
"ACOX2","Q99424",48512.4160175,37262.52474,"nonmito",""
"ACOX3","O15254",97370.7070375,87363.01302,"nonmito",""
"ACP1","P24666",752831.390625,634527.916666667,"nonmito",""
"ACP2","P11117",182600.972675,246334.145833333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",42713.28418,45925.7135433333,"mito",""
"ACSF3","Q4G176",49644.1962875,57379.24219,"mito",""
"ACSL1","P33121",104192.996115,126134.9323,"mito",""
"ACSL3","O95573",397275.94535,327368.4375,"nonmito",""
"ACSL4","O60488;O60488-2",293384.7305,222753.8073,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",92740.67773,68645.7968766667,"nonmito",""
"ACTA1","P68133",9923339.25,8508311.75,"nonmito",""
"ACTB","P60709",33792543.5,33107092.6666667,"nonmito",""
"ACTBL2","Q562R1",26845825,27734586,"nonmito",""
"ACTC1","P68032",52313972,45776441.3333333,"nonmito",""
"ACTG1","P63261",2618057.1875,3770326.41666667,"nonmito",""
"ACTL6A","O96019",174831.293,164139.093766667,"nonmito",""
"ACTN1","P12814-2",147328.12305,330817.614633333,"nonmito",""
"ACTN1","P12814",4042352.5625,4283811.66666667,"nonmito",""
"ACTN4","O43707",2307713.40625,2552130.33333333,"nonmito",""
"ACTR10","Q9NZ32",140909.9004,154302.3177,"nonmito",""
"ACTR1A","P61163",1155530.953125,1253901.45833333,"nonmito",""
"ACTR1B","P42025",206790.28515,188759.1198,"nonmito",""
"ACTR2","P61160",1930629.1875,1944207.66666667,"nonmito",""
"ACTR3","P61158",2427201.1875,2433516.91666667,"nonmito",""
"ACTR8","Q9H981",28568.839355,21329.27995,"nonmito",""
"ACVR1","Q04771",85142.4453175,60525.2395833333,"nonmito",""
"ACY1","Q03154",111869.976585,79872.0312533333,"nonmito",""
"ACYP1","P07311",126678.072275,126668.6875,"nonmito",""
"ACYP2","P14621",125280.21095,127116.8229,"nonmito",""
"ADA","P00813",202981.1601625,105119.585933333,"nonmito",""
"ADAM10","O14672",129207.3496125,108746.539066667,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-12;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",31356.8984375,37060.1783866667,"nonmito",""
"ADAM17","P78536",48787.6220725,35905.0664033333,"nonmito",""
"ADAM9","Q13443",107976.9101575,122491.195333333,"nonmito",""
"ADAMTS2","O95450",9442.600708,8821.01041666667,"nonmito",""
"ADAMTSL1","Q8N6G6",27721.9790025,29749.89974,"nonmito",""
"ADAR","P55265;P55265-4;P55265-5",119696.5684,122828.263033333,"nonmito",""
"ADCY7","P51828",9067.71179225,7368.139974,"nonmito",""
"ADCY9","O60503",29642.9125975,23040.80729,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",312651.125025,226423.036466667,"nonmito",""
"ADD2","P35612",267208.539075,198923.895833333,"nonmito",""
"ADD3","Q9UEY8-2",230590.253925,146005.8802,"nonmito",""
"ADGRA2","Q96PE1",47406.2353525,20046.72917,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",148638.8633,97809.5234233333,"nonmito",""
"ADH5","P11766",1510770.71875,1304499.70833333,"nonmito",""
"ADI1","Q9BV57",248559.7422,112766.6849,"nonmito",""
"ADK","P55263",180107.722675,215701.453133333,"nonmito",""
"ADNP","Q9H2P0",28726.3041975,24954.94271,"nonmito",""
"ADO","Q96SZ5",98516.9375025,156528.2344,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",236984.1875,226620.2344,"nonmito",""
"ADPRS","Q9NX46",156367.066425,181601.8646,"nonmito",""
"ADRM1","Q16186",286009.285175,381389.770866667,"nonmito",""
"ADSL","P30566",265877.632825,289000.958333333,"nonmito",""
"ADSS2","P30520",437594.6563,387383.197966667,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",138673.294925,193958.2292,"nonmito",""
"AFDN","P55196;P55196-5",43982.521485,39988.02474,"nonmito",""
"AFF4","Q9UHB7;Q9UHB7-2",40873.1616225,74902.39323,"nonmito",""
"AFG3L2","Q9Y4W6",81956.9628925,105127.895866667,"mito",""
"AFTPH","Q6ULP2;Q6ULP2-6;Q6ULP2-8;Q6ULP2-9",15392.24634,13451.6985666667,"nonmito",""
"AGA","P20933",133874.0586025,198394.734366667,"nonmito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",48178.7509775,57283.94271,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",177591.796875,154359.505233333,"nonmito",""
"AGFG2","O95081",63534.2812475,55971.4179666667,"nonmito",""
"AGK","Q53H12",141748.28905,188965.531266667,"mito",""
"AGL","P35573",101875.58594,86439.1536466667,"nonmito",""
"AGO1","Q9UL18",46535.970705,46968.0286466667,"nonmito",""
"AGO2","Q9UKV8",89854.16797,82175.0703133333,"nonmito",""
"AGO3","Q9H9G7",89801.28907,97600.5338533333,"nonmito",""
"AGPAT1","Q99943",144976.048825,168876.161466667,"nonmito",""
"AGPAT2","O15120",115575.80665,104696.466166667,"nonmito",""
"AGPAT3","Q9NRZ7",70321.207035,62486.7955733333,"nonmito",""
"AGPAT4","Q9NRZ5",100034.2324275,103013.557303333,"mito",""
"AGPAT5","Q9NUQ2",13927.978025,14053.38997,"mito",""
"AGPS","O00116",171604.26565,185208.5573,"nonmito",""
