"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,2504616.66666667,"nonmito",""
"AAAS","Q9NRG9",64092,61364.6,"nonmito",""
"AACS","Q86V21",67170.62,72116.0666666667,"nonmito",""
"AAGAB","Q6PD74",102035.9,104873.033333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,71483.9333333333,"nonmito",""
"AAMDC","Q9H7C9",77654.76,74080.2333333333,"nonmito",""
"AAMP","Q13685",60659.08,56283.7,"nonmito",""
"AAR2","Q9Y312",37725.34,35411.7333333333,"nonmito",""
"AARS1","P49588",203694.6,166466.666666667,"nonmito",""
"AARS2","Q5JTZ9",39915.94,39804.9333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,78855.0666666667,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,108858.666666667,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,61766.3666666667,"mito",""
"ABAT","P80404",31057.18,31239.5333333333,"mito",""
"ABCB10","Q9NRK6",60535.58,72618.9333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,101066,"mito",""
"ABCB7","O75027;O75027-2",64735.56,70859.5666666667,"mito",""
"ABCC1","P33527;P33527-9",70074.18,69914.9666666667,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,65180.5333333333,"nonmito",""
"ABCD1","P33897",68861.78,74208.8333333333,"mito",""
"ABCD3","P28288",71937.16,69165.1666666667,"mito",""
"ABCD4","O14678",50659.4,51910.5333333333,"nonmito",""
"ABCE1","P61221",206159.8,204504.333333333,"nonmito",""
"ABCF1","Q8NE71",104476,116456.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,93703.9,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,95557.1666666667,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,81170.1333333333,"mito",""
"ABHD11","Q8NFV4",59850.58,34041.9666666667,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,82835.5333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,175090,"nonmito",""
"ABHD16A","O95870",59554.38,74646.3333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,69013.2333333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,75982.3666666667,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,111326.766666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,92227.8333333333,"nonmito",""
"ABRACL","Q9P1F3",155860.86,145159.966666667,"nonmito",""
"ABRAXAS2","Q15018",51696.08,74072.6333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,86432.8333333333,"nonmito",""
"ACAA1","P09110",72276.92,101752.366666667,"mito",""
"ACAA2","P42765",113433.9,124878,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,67158.4,"mito",""
"ACAD11","Q709F0",58750.2,73902.2666666667,"mito",""
"ACAD8","Q9UKU7",25658.65,53935.3,"mito",""
"ACAD9","Q9H845",76072.6,84245.2,"mito",""
"ACADM","P11310;P11310-2",127015.18,145815.666666667,"mito",""
"ACADS","P16219",91996.5,87703.45,"mito",""
"ACADSB","P45954",36606.4,45725,"mito",""
"ACADVL","P49748;P49748-3",243633.8,227168.333333333,"mito",""
"ACAP2","Q15057",61446.84,57185.2333333333,"nonmito",""
"ACAT1","P24752",228179.2,251206.333333333,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,200470.333333333,"nonmito",""
"ACBD3","Q9H3P7",138182.4,142783,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,57372.8666666667,"nonmito",""
"ACBD6","Q9BR61",31575.38,35801.1333333333,"nonmito",""
"ACIN1","Q9UKV3",65330.86,67803.6333333333,"nonmito",""
