"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,2446720,"nonmito",""
"AAAS","Q9NRG9",64092,71020,"nonmito",""
"AACS","Q86V21",67170.62,90154.1,"nonmito",""
"AAGAB","Q6PD74",102035.9,119259.333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,98599.9666666667,"nonmito",""
"AAMDC","Q9H7C9",77654.76,80036,"nonmito",""
"AAMP","Q13685",60659.08,55948.7,"nonmito",""
"AAR2","Q9Y312",37725.34,40213.3333333333,"nonmito",""
"AARS1","P49588",203694.6,157398.666666667,"nonmito",""
"AARS2","Q5JTZ9",39915.94,34443.7333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,102379.133333333,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,102291.466666667,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,69880.6,"mito",""
"ABAT","P80404",31057.18,37553.6333333333,"mito",""
"ABCB10","Q9NRK6",60535.58,76253.5666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,64832.2333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,83202.3333333333,"mito",""
"ABCC1","P33527;P33527-9",70074.18,77821.9666666667,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,60602.2333333333,"nonmito",""
"ABCD1","P33897",68861.78,55437.6,"mito",""
"ABCD3","P28288",71937.16,63409.3666666667,"mito",""
"ABCD4","O14678",50659.4,30003,"nonmito",""
"ABCE1","P61221",206159.8,183798.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,108892,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,110041,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,105665,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,68167.8,"mito",""
"ABHD11","Q8NFV4",59850.58,63319,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,94956.0333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,213304.666666667,"nonmito",""
"ABHD16A","O95870",59554.38,65486.4666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",34726.2,38503.1666666667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,76527.0333333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,84981.0333333333,"nonmito",""
"ABL1","P00519;P00519-2",30616.1,50069.6666666667,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,46145.5,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,82622.8333333333,"nonmito",""
"ABRACL","Q9P1F3",155860.86,193885,"nonmito",""
"ABRAXAS2","Q15018",51696.08,68562.0333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,125859.8,"nonmito",""
"ACAA1","P09110",72276.92,81168,"mito",""
"ACAA2","P42765",113433.9,133742.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,91601.7333333333,"mito",""
"ACAD11","Q709F0",58750.2,333217.366666667,"mito",""
"ACAD8","Q9UKU7",25658.65,44524.95,"mito",""
"ACAD9","Q9H845",76072.6,98287.1666666667,"mito",""
"ACADM","P11310;P11310-2",127015.18,146856.333333333,"mito",""
"ACADS","P16219",91996.5,72401.8333333333,"mito",""
